Az	az	DET	Definite=Def|PronType=Art	
FKF	FKF	PROPN	Case=Nom|Number=Sing	
Nonprofit	nonprofit	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Zrt.	Zrt.	PROPN	Case=Nom|Number=Sing	
Hulladékhasznosító	hulladékhasznosító	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
Mű	mű	PROPN	Case=Nom|Number=Sing	
Üzemben	üzem	NOUN	Case=Ine|Number=Sing	
üzemelő	üzemelő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
kazánok	kazán	NOUN	Case=Nom|Number=Plur	
segédberendezéseinek	segédberendezés	NOUN	Case=Gen|Number=Plur|Number[psor]=Sing|Person[psor]=3	
gépészeti	gépészeti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
javítása	javítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
karbantartása	karbantartás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

